id,name,id_number_masked,position,nationality,birth_date,notes,created_at
32,Indah Yanti Purwanto,5131********2031,Direktur,Indonesia,1974-10-01,,2026-01-15 14:24:55.147724+00
33,Nurul Irwan Saputra,5132********2032,CEO,Indonesia,1979-01-03,,2026-01-15 14:24:55.147724+00
34,Ahmad Surya,5133********2033,Direktur Keuangan,Indonesia,1954-03-24,,2026-01-15 14:24:55.147724+00
35,Kurnia Dewi Utomo,5134********2034,Direktur,Indonesia,1983-12-22,,2026-01-15 14:24:55.147724+00
36,Fitri Eko Pratama,5135********2035,Direktur Operasional,Indonesia,1952-02-23,,2026-01-15 14:24:55.147724+00
37,Tri Kurnia Hartono,5136********2036,Sekretaris Perusahaan,Indonesia,1958-12-27,,2026-01-15 14:24:55.147724+00
38,Sigit Yulia Susanto,5137********2037,Direktur,Indonesia,1958-10-24,,2026-01-15 14:24:55.147724+00
39,Rina Purwanto,5138********2038,Direktur Keuangan,Indonesia,1965-10-23,,2026-01-15 14:24:55.147724+00
40,Lestari Permana,5139********2039,COO,Indonesia,1955-07-05,,2026-01-15 14:24:55.147724+00
41,Budi Hendro Santoso,5140********2040,Direktur Operasional,Indonesia,1989-05-27,,2026-01-15 14:24:55.147724+00
42,Rudi Irwan Susanto,5141********2041,Direktur,Indonesia,1969-09-10,,2026-01-15 14:24:55.147724+00
43,Budi Fitri Suryanto,5142********2042,Direktur Keuangan,Indonesia,1988-05-04,,2026-01-15 14:24:55.147724+00
44,Bambang Joko Mahendra,5143********2043,COO,Indonesia,1979-02-26,,2026-01-15 14:24:55.147724+00
45,Sigit Adi Aditya,5144********2044,Komisaris Independen,Indonesia,1962-08-22,,2026-01-15 14:24:55.147724+00
46,Agus Utomo,5145********2045,COO,Indonesia,1966-01-21,,2026-01-15 14:24:55.147724+00
47,Ratna Hermawan,5146********2046,Direktur Utama,Indonesia,1980-12-10,,2026-01-15 14:24:55.147724+00
48,Rina Rizki Permana,5147********2047,Direktur Keuangan,Indonesia,1981-12-26,,2026-01-15 14:24:55.147724+00
49,Adi Hadi Putra,5148********2048,Sekretaris Perusahaan,Indonesia,1955-11-25,,2026-01-15 14:24:55.147724+00
50,Nita Hartono,5149********2049,Direktur Operasional,Indonesia,1960-12-21,,2026-01-15 14:24:55.147724+00
51,Dewi Adi Suryanto,5150********2050,Sekretaris Perusahaan,Indonesia,1962-11-18,,2026-01-15 14:24:55.147724+00
52,Andi Aditya,5151********2051,Direktur Operasional,USA,1966-07-09,,2026-01-15 14:24:55.147724+00
53,Siti Adi Kusuma,5152********2052,Sekretaris Perusahaan,Indonesia,1957-05-05,,2026-01-15 14:24:55.147724+00
54,Wahyu Firmansyah,5153********2053,Komisaris Utama,Netherlands,1984-08-15,,2026-01-15 14:24:55.147724+00
55,Sri Gunawan,5154********2054,CEO,Indonesia,1964-01-22,,2026-01-15 14:24:55.147724+00
56,Joko Sigit Aditya,5155********2055,Sekretaris Perusahaan,Indonesia,1974-09-06,,2026-01-15 14:24:55.147724+00
57,Fitri Taufik Prasetyo,5156********2056,Komisaris,Indonesia,1975-05-01,,2026-01-15 14:24:55.147724+00
58,Nurul Hidayat,5157********2057,Direktur Operasional,Indonesia,1967-09-25,,2026-01-15 14:24:55.147724+00
59,Wulan Yulia Suryanto,5158********2058,Direktur,Indonesia,1984-06-08,,2026-01-15 14:24:55.147724+00
60,Lestari Raharjo,5159********2059,Direktur,Indonesia,1973-07-14,,2026-01-15 14:24:55.147724+00
61,Joko Wishnu Wijaya,5160********2060,Direktur Utama,China,1971-03-20,,2026-01-15 14:24:55.147724+00
62,Fitri Suryanto,5161********2061,COO,Indonesia,1958-01-20,,2026-01-15 14:24:55.147724+00
63,Taufik Surya,5162********2062,Direktur Operasional,Indonesia,1974-09-18,,2026-01-15 14:24:55.147724+00
64,Indah Sigit Nugroho,5163********2063,Sekretaris Perusahaan,Indonesia,1951-02-09,,2026-01-15 14:24:55.147724+00
65,Maya Rizki Hartono,5164********2064,CEO,Indonesia,1986-02-20,,2026-01-15 14:24:55.147724+00
66,Wulan Hermawan,5165********2065,Direktur,Indonesia,1986-01-26,,2026-01-15 14:24:55.147724+00
67,Rudi Dwi Susanto,5166********2066,COO,Indonesia,1966-02-12,,2026-01-15 14:24:55.147724+00
68,Nurul Permana,5167********2067,Direktur,Indonesia,1969-06-24,,2026-01-15 14:24:55.147724+00
69,Hendra Hadi Surya,5168********2068,Komisaris,Indonesia,1978-08-26,,2026-01-15 14:24:55.147724+00
70,Bambang Setiawan,5169********2069,CFO,Indonesia,1953-10-07,,2026-01-15 14:24:55.147724+00
71,Indah Wulan Hartono,5170********2070,Komisaris Independen,Indonesia,1975-10-15,,2026-01-15 14:24:55.147724+00
72,Rudi Gunawan,5171********2071,Komisaris Independen,Indonesia,1988-08-11,,2026-01-15 14:24:55.147724+00
73,Dwi Rizki Hidayat,5172********2072,Direktur,Indonesia,1978-08-18,,2026-01-15 14:24:55.147724+00
74,Feri Yulia Santoso,5173********2073,Direktur Keuangan,Indonesia,1951-11-01,,2026-01-15 14:24:55.147724+00
75,Wishnu Wishnu Suharto,5174********2074,Direktur,Indonesia,1989-01-15,,2026-01-15 14:24:55.147724+00
76,Dwi Ahmad Hidayat,5175********2075,CFO,Indonesia,1971-10-06,,2026-01-15 14:24:55.147724+00
77,Fitri Wulan Susanto,5176********2076,CEO,Indonesia,1982-11-02,,2026-01-15 14:24:55.147724+00
78,Siti Hidayat,5177********2077,Komisaris Utama,Indonesia,1952-02-06,,2026-01-15 14:24:55.147724+00
79,Andi Prasetyo,5178********2078,Direktur,Indonesia,1956-07-05,,2026-01-15 14:24:55.147724+00
80,Putri Sigit Santoso,5179********2079,CEO,Indonesia,1985-10-05,,2026-01-15 14:24:55.147724+00
81,Budi Putra,5180********2080,Direktur Utama,Indonesia,1985-05-18,,2026-01-15 14:24:55.147724+00
82,Eko Tri Setiawan,5181********2081,CFO,China,1953-08-15,,2026-01-15 14:24:55.147724+00
83,Maya Taufik Hidayat,5182********2082,CFO,Indonesia,1951-02-25,,2026-01-15 14:24:55.147724+00
84,Maya Sari Purwanto,5183********2083,Komisaris Utama,Indonesia,1950-05-27,,2026-01-15 14:24:55.147724+00
85,Nurul Wati Permana,5184********2084,CEO,Japan,1970-03-25,,2026-01-15 14:24:55.147724+00
86,Joko Setiawan,5185********2085,COO,Indonesia,1990-12-15,,2026-01-15 14:24:55.147724+00
87,Bambang Firmansyah,5186********2086,Direktur Utama,Indonesia,1974-11-18,,2026-01-15 14:24:55.147724+00
88,Feri Rudi Gunawan,5187********2087,Komisaris,Indonesia,1990-10-24,,2026-01-15 14:24:55.147724+00
89,Dwi Ratna Suharto,5188********2088,CFO,Indonesia,1952-11-28,,2026-01-15 14:24:55.147724+00
90,Lestari Kusumo,5189********2089,Direktur,Indonesia,1966-05-13,,2026-01-15 14:24:55.147724+00
91,Fitri Joko Pratama,5190********2090,Komisaris Independen,Indonesia,1954-12-05,,2026-01-15 14:24:55.147724+00
92,Adi Aditya,5191********2091,Direktur Keuangan,Indonesia,1974-09-07,,2026-01-15 14:24:55.147724+00
93,Dewi Ahmad Hartono,5192********2092,Sekretaris Perusahaan,Indonesia,1985-05-10,,2026-01-15 14:24:55.147724+00
94,Joko Prabowo,5193********2093,Komisaris Utama,Japan,1963-10-10,,2026-01-15 14:24:55.147724+00
95,Wulan Kusumo,5194********2094,CEO,Netherlands,1976-06-08,,2026-01-15 14:24:55.147724+00
96,Nurul Hartono,5195********2095,Direktur,Indonesia,1969-04-15,,2026-01-15 14:24:55.147724+00
97,Andi Hendra Utomo,5196********2096,Komisaris Independen,Indonesia,1970-06-22,,2026-01-15 14:24:55.147724+00
98,Dian Rina Saputra,5197********2097,Komisaris Utama,Indonesia,1979-12-22,,2026-01-15 14:24:55.147724+00
99,Bambang Sri Cahya,5198********2098,Direktur,Indonesia,1971-10-21,,2026-01-15 14:24:55.147724+00
100,Maya Hidayat,5199********2099,Sekretaris Perusahaan,Indonesia,1965-01-19,,2026-01-15 14:24:55.147724+00
101,Fitri Ahmad Hermawan,5200********2100,Direktur Utama,Singapore,1958-10-02,,2026-01-15 14:24:55.147724+00
102,Agus Aditya,5201********2101,Direktur Keuangan,Indonesia,1979-01-02,,2026-01-15 14:24:55.147724+00
103,Sari Prabowo,5202********2102,Direktur Utama,Indonesia,1966-11-18,,2026-01-15 14:24:55.147724+00
104,Agus Santoso,5203********2103,Direktur Operasional,Indonesia,1953-03-06,,2026-01-15 14:24:55.147724+00
105,Wahyu Wulan Ramadhan,5204********2104,Direktur Operasional,Indonesia,1987-01-13,,2026-01-15 14:24:55.147724+00
106,Budi Utomo,5205********2105,Direktur,Indonesia,1980-11-03,,2026-01-15 14:24:55.147724+00
107,Sari Wijaya,5206********2106,CFO,Indonesia,1976-06-13,,2026-01-15 14:24:55.147724+00
108,Dian Gunawan,5207********2107,CEO,Indonesia,1956-02-20,,2026-01-15 14:24:55.147724+00
109,Bambang Prabowo,5208********2108,Direktur Keuangan,Indonesia,1986-12-27,,2026-01-15 14:24:55.147724+00
110,Dewi Prasetyo,5209********2109,CEO,Malaysia,1956-07-27,,2026-01-15 14:24:55.147724+00
111,Bambang Rudi Saputra,5210********2110,Komisaris Utama,China,1974-08-28,,2026-01-15 14:24:55.147724+00
112,Nurul Putri Surya,5211********2111,Direktur Operasional,Indonesia,1982-01-20,,2026-01-15 14:24:55.147724+00
113,Sari Putra,5212********2112,Sekretaris Perusahaan,Indonesia,1957-10-22,,2026-01-15 14:24:55.147724+00
114,Yulia Cahya,5213********2113,Direktur Keuangan,Singapore,1962-12-27,,2026-01-15 14:24:55.147724+00
115,Lestari Kurnia Susanto,5214********2114,Direktur,Indonesia,1988-10-15,,2026-01-15 14:24:55.147724+00
116,Feri Wati Santoso,5215********2115,Direktur Utama,Indonesia,1953-01-07,,2026-01-15 14:24:55.147724+00
117,Feri Purwanto,5216********2116,Komisaris Independen,Indonesia,1956-06-06,,2026-01-15 14:24:55.147724+00
118,Putri Gunawan,5217********2117,CEO,Indonesia,1984-10-11,,2026-01-15 14:24:55.147724+00
119,Wulan Adi Setiawan,5218********2118,CFO,Indonesia,1980-07-04,,2026-01-15 14:24:55.147724+00
120,Tri Tri Wibowo,5219********2119,Sekretaris Perusahaan,Indonesia,1982-11-28,,2026-01-15 14:24:55.147724+00
121,Yanti Kusumo,5220********2120,Komisaris Independen,Indonesia,1984-07-11,,2026-01-15 14:24:55.147724+00
122,Rudi Rizki Utomo,5221********2121,Direktur Utama,Indonesia,1973-04-04,,2026-01-15 14:24:55.147724+00
123,Irwan Aditya,5222********2122,Direktur Operasional,Indonesia,1968-09-22,,2026-01-15 14:24:55.147724+00
124,Dwi Hendra Ardiansyah,5223********2123,Komisaris Independen,Indonesia,1955-01-25,,2026-01-15 14:24:55.147724+00
125,Irwan Wijaya,5224********2124,Direktur Operasional,Indonesia,1987-06-07,,2026-01-15 14:24:55.147724+00
126,Lestari Hartono,5225********2125,Direktur Keuangan,Indonesia,1961-10-28,,2026-01-15 14:24:55.147724+00
127,Agus Rizki Kusuma,5226********2126,CFO,Indonesia,1953-07-12,,2026-01-15 14:24:55.147724+00
128,Nurul Santoso,5227********2127,Direktur Utama,Indonesia,1989-08-28,,2026-01-15 14:24:55.147724+00
129,Siti Utomo,5228********2128,Sekretaris Perusahaan,Indonesia,1984-09-13,,2026-01-15 14:24:55.147724+00
130,Irwan Nita Susanto,5229********2129,Direktur Utama,Indonesia,1957-03-19,,2026-01-15 14:24:55.147724+00
131,Feri Purwanto,5230********2130,Direktur Utama,Indonesia,1964-04-13,,2026-01-15 14:24:55.147724+00
132,Indah Santoso,5231********2131,Direktur Utama,Indonesia,1955-10-22,,2026-01-15 14:24:55.147724+00
133,Ahmad Kurnia Hidayat,5232********2132,Direktur Operasional,Indonesia,1977-12-15,,2026-01-15 14:24:55.147724+00
134,Hadi Dwi Suharto,5233********2133,CFO,Indonesia,1959-08-28,,2026-01-15 14:24:55.147724+00
135,Siti Ardiansyah,5234********2134,Komisaris Independen,Indonesia,1956-01-18,,2026-01-15 14:24:55.147724+00
136,Adi Nugroho,5235********2135,CEO,Indonesia,1982-02-28,,2026-01-15 14:24:55.147724+00
137,Sigit Sri Ramadhan,5236********2136,Sekretaris Perusahaan,Indonesia,1965-06-18,,2026-01-15 14:24:55.147724+00
138,Eko Adi Purwanto,5237********2137,Direktur Operasional,Indonesia,1962-05-16,,2026-01-15 14:24:55.147724+00
139,Wati Wibowo,5238********2138,Sekretaris Perusahaan,Indonesia,1953-03-06,,2026-01-15 14:24:55.147724+00
140,Lestari Prabowo,5239********2139,Direktur Keuangan,Indonesia,1973-06-19,,2026-01-15 14:24:55.147724+00
141,Siti Hartono,5240********2140,Komisaris Utama,Indonesia,1990-04-12,,2026-01-15 14:24:55.147724+00
142,Bambang Santoso,5241********2141,CFO,Indonesia,1956-06-20,,2026-01-15 14:24:55.147724+00
143,Yanti Putra,5242********2142,Komisaris Independen,Indonesia,1987-10-10,,2026-01-15 14:24:55.147724+00
144,Yanti Agus Surya,5243********2143,Direktur Keuangan,Indonesia,1950-03-22,,2026-01-15 14:24:55.147724+00
145,Yulia Purwanto,5244********2144,Direktur,Indonesia,1954-08-20,,2026-01-15 14:24:55.147724+00
146,Wahyu Putri Kusuma,5245********2145,Direktur,Indonesia,1952-07-01,,2026-01-15 14:24:55.147724+00
147,Feri Surya,5246********2146,Direktur,Indonesia,1981-11-20,,2026-01-15 14:24:55.147724+00
148,Rudi Hermawan,5247********2147,Direktur Keuangan,Indonesia,1966-09-03,,2026-01-15 14:24:55.147724+00
149,Dewi Wibowo,5248********2148,CFO,Indonesia,1961-12-16,,2026-01-15 14:24:55.147724+00
150,Tri Hermawan,5249********2149,Direktur Utama,Indonesia,1957-12-05,,2026-01-15 14:24:55.147724+00
151,Yanti Nugroho,5250********2150,Direktur Keuangan,Japan,1972-09-02,,2026-01-15 14:24:55.147724+00
152,Irwan Susanto,5251********2151,Komisaris Utama,Indonesia,1957-08-14,,2026-01-15 14:24:55.147724+00
153,Joko Siti Suharto,5252********2152,Direktur,Indonesia,1970-07-13,,2026-01-15 14:24:55.147724+00
154,Dewi Hidayat,5253********2153,Direktur Keuangan,Indonesia,1987-09-08,,2026-01-15 14:24:55.147724+00
155,Wishnu Ardiansyah,5254********2154,Direktur Keuangan,Indonesia,1961-03-09,,2026-01-15 14:24:55.147724+00
156,Fitri Kusumo,5255********2155,Komisaris,Indonesia,1983-08-22,,2026-01-15 14:24:55.147724+00
157,Sari Firmansyah,5256********2156,CEO,Netherlands,1959-10-13,,2026-01-15 14:24:55.147724+00
158,Hadi Cahya,5257********2157,Sekretaris Perusahaan,Indonesia,1960-09-05,,2026-01-15 14:24:55.147724+00
159,Irwan Wahyu Kusuma,5258********2158,Direktur,Indonesia,1989-09-05,,2026-01-15 14:24:55.147724+00
160,Ratna Wibowo,5259********2159,Direktur Operasional,Indonesia,1985-03-13,,2026-01-15 14:24:55.147724+00
161,Nurul Hartono,5260********2160,Direktur Keuangan,Indonesia,1985-06-14,,2026-01-15 14:24:55.147724+00
162,Ahmad Agus Firmansyah,5261********2161,Direktur Utama,Indonesia,1974-04-22,,2026-01-15 14:24:55.147724+00
163,Sri Hadi Utomo,5262********2162,Komisaris,Netherlands,1963-05-22,,2026-01-15 14:24:55.147724+00
164,Lestari Firmansyah,5263********2163,Direktur Operasional,Indonesia,1980-09-06,,2026-01-15 14:24:55.147724+00
165,Dian Dwi Setiawan,5264********2164,Direktur Utama,Indonesia,1976-04-21,,2026-01-15 14:24:55.147724+00
166,Wishnu Raharjo,5265********2165,Sekretaris Perusahaan,Indonesia,1989-12-19,,2026-01-15 14:24:55.147724+00
167,Sari Adi Pratama,5266********2166,Direktur,Indonesia,1959-04-07,,2026-01-15 14:24:55.147724+00
168,Eko Sari Surya,5267********2167,Direktur Keuangan,Indonesia,1981-07-07,,2026-01-15 14:24:55.147724+00
169,Nita Prabowo,5268********2168,Direktur,Indonesia,1952-10-02,,2026-01-15 14:24:55.147724+00
170,Sigit Rudi Suryanto,5269********2169,Direktur Operasional,Indonesia,1954-04-24,,2026-01-15 14:24:55.147724+00
171,Andi Bambang Nugroho,5270********2170,CFO,Indonesia,1987-11-18,,2026-01-15 14:24:55.147724+00
172,Wati Taufik Suharto,5271********2171,CEO,Indonesia,1975-12-12,,2026-01-15 14:24:55.147724+00
173,Joko Nugroho,5272********2172,Komisaris Utama,Indonesia,1981-09-14,,2026-01-15 14:24:55.147724+00
174,Lestari Lestari Kusuma,5273********2173,Komisaris Independen,Singapore,1973-07-23,,2026-01-15 14:24:55.147724+00
175,Wulan Susanto,5274********2174,Komisaris Independen,Indonesia,1983-09-13,,2026-01-15 14:24:55.147724+00
176,Rudi Suryanto,5275********2175,Direktur Utama,Indonesia,1985-08-13,,2026-01-15 14:24:55.147724+00
177,Taufik Putri Wijaya,5276********2176,Sekretaris Perusahaan,Indonesia,1976-01-26,,2026-01-15 14:24:55.147724+00
178,Taufik Hartono,5277********2177,Direktur Operasional,Indonesia,1965-02-03,,2026-01-15 14:24:55.147724+00
179,Tri Gunawan,5278********2178,Komisaris Independen,Indonesia,1976-08-15,,2026-01-15 14:24:55.147724+00
180,Fitri Rizki Cahya,5279********2179,Sekretaris Perusahaan,Indonesia,1966-09-07,,2026-01-15 14:24:55.147724+00
181,Rudi Susanto,5280********2180,Komisaris,Indonesia,1978-01-22,,2026-01-15 14:24:55.147724+00
182,Lestari Aditya,5281********2181,Komisaris Utama,Indonesia,1959-11-09,,2026-01-15 14:24:55.147724+00
183,Nurul Prasetyo,5282********2182,COO,Indonesia,1976-12-22,,2026-01-15 14:24:55.147724+00
184,Irwan Ardiansyah,5283********2183,Direktur Operasional,Indonesia,1980-07-17,,2026-01-15 14:24:55.147724+00
185,Hendro Hadi Surya,5284********2184,Komisaris Utama,Indonesia,1986-09-25,,2026-01-15 14:24:55.147724+00
186,Hendro Surya,5285********2185,CFO,Indonesia,1974-06-20,,2026-01-15 14:24:55.147724+00
187,Sri Cahya,5286********2186,Komisaris Utama,Japan,1970-06-26,,2026-01-15 14:24:55.147724+00
188,Siti Yulia Suryanto,5287********2187,Sekretaris Perusahaan,Indonesia,1956-11-01,,2026-01-15 14:24:55.147724+00
189,Rina Permana,5288********2188,COO,Indonesia,1988-08-07,,2026-01-15 14:24:55.147724+00
190,Wahyu Hadi Kusumo,5289********2189,Komisaris Utama,Indonesia,1950-12-23,,2026-01-15 14:24:55.147724+00
191,Yanti Purwanto,5290********2190,CFO,Indonesia,1957-05-28,,2026-01-15 14:24:55.147724+00
192,Ratna Aditya,5291********2191,Direktur,Indonesia,1950-09-28,,2026-01-15 14:24:55.147724+00
193,Rina Tri Suharto,5292********2192,Direktur,Indonesia,1990-09-22,,2026-01-15 14:24:55.147724+00
194,Wulan Sri Surya,5293********2193,Komisaris Utama,USA,1978-12-04,,2026-01-15 14:24:55.147724+00
195,Yulia Indah Prasetyo,5294********2194,Direktur,Indonesia,1952-03-20,,2026-01-15 14:24:55.147724+00
196,Joko Setiawan,5295********2195,Komisaris,Indonesia,1952-09-23,,2026-01-15 14:24:55.147724+00
197,Maya Permana,5296********2196,CEO,Indonesia,1956-08-10,,2026-01-15 14:24:55.147724+00
198,Hendro Tri Nugroho,5297********2197,CEO,Indonesia,1953-12-08,,2026-01-15 14:24:55.147724+00
199,Joko Cahya,5298********2198,COO,Indonesia,1989-03-21,,2026-01-15 14:24:55.147724+00
200,Adi Surya,5299********2199,Direktur,Indonesia,1973-10-28,,2026-01-15 14:24:55.147724+00
201,Siti Yulia Kusuma,5300********2200,Sekretaris Perusahaan,Indonesia,1979-09-07,,2026-01-15 14:24:55.147724+00
202,Dian Rizki Cahya,5301********2201,Komisaris Utama,Indonesia,1985-04-27,,2026-01-15 14:24:55.147724+00
203,Tri Pratama,5302********2202,Komisaris,Indonesia,1967-07-06,,2026-01-15 14:24:55.147724+00
204,Hadi Sigit Santoso,5303********2203,CEO,Indonesia,1968-12-24,,2026-01-15 14:24:55.147724+00
205,Yanti Raharjo,5304********2204,Direktur Operasional,Indonesia,1978-10-21,,2026-01-15 14:24:55.147724+00
206,Ahmad Sigit Prabowo,5305********2205,Direktur Operasional,Singapore,1962-12-18,,2026-01-15 14:24:55.147724+00
207,Kurnia Fitri Suharto,5306********2206,Sekretaris Perusahaan,Indonesia,1971-02-05,,2026-01-15 14:24:55.147724+00
208,Lestari Wibowo,5307********2207,Direktur Keuangan,Indonesia,1959-02-26,,2026-01-15 14:24:55.147724+00
209,Hendro Ahmad Hidayat,5308********2208,Direktur Utama,Indonesia,1982-01-03,,2026-01-15 14:24:55.147724+00
210,Dian Mahendra,5309********2209,Komisaris Independen,Indonesia,1971-11-03,,2026-01-15 14:24:55.147724+00
211,Wahyu Yanti Prasetyo,5310********2210,Komisaris Independen,Indonesia,1979-12-13,,2026-01-15 14:24:55.147724+00
212,Agus Wahyu Hidayat,5311********2211,Direktur Keuangan,Indonesia,1962-05-19,,2026-01-15 14:24:55.147724+00
213,Maya Ahmad Cahya,5312********2212,COO,Indonesia,1989-04-21,,2026-01-15 14:24:55.147724+00
214,Putri Putri Putra,5313********2213,Direktur Utama,Indonesia,1970-10-20,,2026-01-15 14:24:55.147724+00
215,Sigit Ahmad Mahendra,5314********2214,Direktur Utama,Indonesia,1988-07-27,,2026-01-15 14:24:55.147724+00
216,Maya Kusumo,5315********2215,Direktur Operasional,Indonesia,1952-07-11,,2026-01-15 14:24:55.147724+00
217,Ahmad Sigit Suryanto,5316********2216,Direktur Operasional,Indonesia,1958-06-28,,2026-01-15 14:24:55.147724+00
218,Bambang Suharto,5317********2217,COO,Indonesia,1985-07-06,,2026-01-15 14:24:55.147724+00
219,Agus Surya,5318********2218,Komisaris Independen,USA,1961-10-16,,2026-01-15 14:24:55.147724+00
220,Agus Wijaya,5319********2219,Direktur,Indonesia,1976-12-05,,2026-01-15 14:24:55.147724+00
221,Rudi Siti Santoso,5320********2220,Sekretaris Perusahaan,Indonesia,1975-10-08,,2026-01-15 14:24:55.147724+00
222,Rizki Ahmad Hartono,5321********2221,Direktur Keuangan,Indonesia,1965-03-22,,2026-01-15 14:24:55.147724+00
223,Andi Nurul Cahya,5322********2222,CEO,Indonesia,1981-10-03,,2026-01-15 14:24:55.147724+00
224,Nurul Santoso,5323********2223,Komisaris Independen,Indonesia,1956-05-17,,2026-01-15 14:24:55.147724+00
225,Hendra Cahya,5324********2224,Direktur Utama,Japan,1985-08-16,,2026-01-15 14:24:55.147724+00
226,Tri Aditya,5325********2225,Komisaris Independen,Indonesia,1961-08-06,,2026-01-15 14:24:55.147724+00
227,Yulia Hendro Gunawan,5326********2226,Sekretaris Perusahaan,Indonesia,1972-04-28,,2026-01-15 14:24:55.147724+00
228,Kurnia Sari Raharjo,5327********2227,Komisaris,Indonesia,1972-11-26,,2026-01-15 14:24:55.147724+00
229,Irwan Yanti Ramadhan,5328********2228,Komisaris Independen,Indonesia,1951-09-09,,2026-01-15 14:24:55.147724+00
230,Feri Mahendra,5329********2229,Komisaris,Indonesia,1956-09-20,,2026-01-15 14:24:55.147724+00
231,Andi Suharto,5330********2230,Direktur Utama,Indonesia,1990-08-01,,2026-01-15 14:24:55.147724+00
232,Joko Tri Surya,5331********2231,Direktur Keuangan,Indonesia,1985-02-10,,2026-01-15 14:24:55.147724+00
233,Wahyu Putra,5332********2232,Komisaris,Indonesia,1978-04-12,,2026-01-15 14:24:55.147724+00
234,Yanti Indah Susanto,5333********2233,Komisaris Independen,Indonesia,1950-08-27,,2026-01-15 14:24:55.147724+00
235,Wati Utomo,5334********2234,Direktur Utama,Singapore,1955-10-13,,2026-01-15 14:24:55.147724+00
236,Yulia Dewi Gunawan,5335********2235,Komisaris Utama,Indonesia,1963-05-11,,2026-01-15 14:24:55.147724+00
237,Hendro Yulia Nugroho,5336********2236,Komisaris Independen,Indonesia,1988-11-24,,2026-01-15 14:24:55.147724+00
238,Taufik Setiawan,5337********2237,COO,Indonesia,1984-10-17,,2026-01-15 14:24:55.147724+00
